Year,Variable, Klamath , Siletz , Umatilla , Warm Springs , Colville , Neah bay , Spokane , Tulalip , Yakima ,Cushman-Taholah
1911,number_of_allotments,0,0,0,0,0,0,0,0,0,0
1911,allotted|total_acreage,207374,77442,82156,140044,74271,3728,64794,48331,296407,93757
1911,unallotted|total_acreage,811802,3365,74618,322760,1297009,19952,82648,1034,796412,168888
1911,total_reservation_acreage,1019176,80807,156774,462804,1371280,23680,147442,49365,1092819,262645
1911,patent_in_fee_issues_since_1906|number_of_original_allotment,951, NA ,203,2,20, NA , NA ,1,78,2
1911,patent_in_fee_issues_since_1906|acreage_original_allotment,61375.97, NA ,15183.31,240,1598.64, NA , NA ,490.21,5731.41,204.5
1911,patent_in_fee_issues_since_1906|number_of_inherited_land,0, NA ,21,5,0, NA , NA ,1,241,2
1911,patent_in_fee_issues_since_1906|acreage_inherited_land,0, NA ,1579.67,760,0, NA , NA ,163.85,19860.69,96.95
1911,patent_in_fee_issues_since_1906|total_number,951, NA ,224,7,20, NA , NA ,2,319,4
1911,patent_in_fee_issues_since_1906|total_acreage,61375.97, NA ,16762.98,1000,1598.64, NA , NA ,654.06,25592.1,300.45
1911,patent_in_fee_issues|applications_received,4, NA ,61,0,18, NA , NA ,0,49,0
1911,patent_in_fee_issues|applications_denied,1, NA ,9,0,3, NA , NA ,0,18,0
1911,patent_in_fee_issues|applications_approved,3, NA ,52,0,15, NA , NA ,0,31,0
1911,patent_in_fee_issues|acreage_approved,480, NA ,3223.84,0,1224.6, NA , NA ,0,1878.47,0
1911,sale_of_noncompetent_land|number_of_tracts,0,2,3, NA ,7, NA , NA ,10,18,1
1911,sale_of_noncompetent_land|acreage,0,160,194.42, NA ,513.4, NA , NA ,892.67,1367.37,22.1
1911,sale_of_noncompetent_land|total_proceeds,0,1840,12640.12, NA ,16167.79, NA , NA ,39130.97,37866,200
1911,sale_of_noncompetent_land|average_price_per_acre,0,11.5,65.01, NA ,33.44, NA , NA ,43.83,27.69,9.05
1911,sale_of_inherited_land|number_of_tracts,1,8,4, NA ,1, NA , NA ,1,42,1
1911,sale_of_inherited_land|acreage,160,785.78,160, NA ,80, NA , NA ,164.6,3155.22,72.05
1911,sale_of_inherited_land|total_proceeds,1200,9571,12220, NA ,3216, NA , NA ,7500,138817,2315.89
1911,sale_of_inherited_land|average_price_per_acre,7.5,12.18,76.37, NA ,40.2, NA , NA ,45.57,44,32.14
1911,sale_of_land|total_number_of_tracts,1,10,7, NA ,8, NA , NA ,11,60,2
1911,sale_of_land|total_acreage,160,945.78,354.42, NA ,593.4, NA , NA ,1057.27,4522,94.15
1911,sale_of_land|total_proceeds,1200,11411,24860.12, NA ,19383.79, NA , NA ,46630.97,176683,2515.89
1911,sale_of_land|total_average_price_per_acre,7.5,12.06,70.14, NA ,32.66, NA , NA ,44.15,39.06,27.62
1912,number_of_allotments,0,0,0,0,0,0,0,0,0,0
1912,allotted|total_acreage,207374,77442,82156,139884,74271,3728,64794,48331,295767,93757
1912,unallotted|total_acreage,811802,3365,74618,322920,1297009,19952,82648,1034,797052,168888
1912,total_reservation_acreage,1019176,80807,156774,462805,1371280,23680,147442,49365,1092819,262645
1912,patent_in_fee_issues_since_1906|number_of_original_allotment,951,1,204,2,25, NA , NA ,1,107,3
