Year,Variable, Klamath , Siletz , Umatilla , Warm Springs , Colville , Neah bay , Spokane , Tulalip , Yakima ,Cushman-Taholah
1911,unallotted_acreage_under_lease|grazing,NA,NA,NA,204000,22960,NA,NA,NA,8562.38,NA
1911,unallotted_total_income|grazing,NA,NA,NA,2461.33,3517.5,NA,NA,NA,8346.45,NA
1911,unallotted_acreage_under_lease|farming,179.63,NA,NA,NA,6778.26,NA,NA,NA,37113.07,NA
1911,unallotted_total_income|farming,175,NA,NA,NA,2755,NA,NA,NA,71305.44,NA
1911,allotted_acreage_under_lease|indian_control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1911,allotted_total_income|indian_control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1911,allotted_acreage_under_lease|department_control,26779.93,NA,NA,NA,6861.26,NA,NA,NA,45697.95,53.35
1911,allotted_total_income|department_control,6263.45,NA,NA,NA,5825,NA,NA,NA,79988.89,100
1911,unallotted_under_lease|total_acreage,179.63,NA,NA,204000,29738.26,NA,NA,NA,45675.45,NA
1911,unallotted_under_lease|total_income,175,NA,NA,2461.33,6272.5,NA,NA,NA,79651.89,NA
1911,allotted_under_lease|total_acreage,26779.93,NA,NA,NA,6861.26,NA,NA,0,45697.95,53.35
1911,allotted_under_lease|total_income,6263.45,NA,NA,NA,5825,NA,NA,NA,79988.89,100
1911,under_lease|total_acreage,26959.56,NA,NA,204000,36599.52,NA,NA,0,91373.4,53.35
1911,total_income_under_lease,6438.45,NA,NA,2461.33,12097.5,NA,NA,NA,159640.78,100
1912,unallotted_acreage_under_lease|grazing,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA
1912,unallotted_total_income|grazing,NA,NA,NA,NA,2755.5,NA,NA,NA,NA,NA
1912,unallotted_acreage_under_lease|farming,NA,NA,400,NA,NA,NA,NA,NA,NA,NA
1912,unallotted_total_income|farming,NA,NA,400,NA,NA,NA,NA,NA,NA,NA
1912,allotted_acreage_under_lease|indian_control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,allotted_total_income|indian_control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,allotted_acreage_under_lease|department_control,24060.65,NA,42445,NA,3552,NA,2398.25,288.3,43801.11,53.35
1912,allotted_total_income|department_control,3383.01,NA,98075.59,NA,6727.25,NA,690.75,NR,81962.75,100
1912,total_mining_acreage,7.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,allotted_under_lease|total_income|mining,236.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,unallotted_under_lease|total_acreage,NA,NA,400,NA,NA,NA,NA,NA,NA,NA
1912,unallotted_under_lease|total_income,NA,NA,400,NA,2755.5,NA,NA,NA,NA,NA
1912,allotted_under_lease|total_acreage,24067.76,NA,42445,NA,3552,NA,2398.25,288.3,43801.11,53.35
1912,allotted_under_lease|total_income,3619.52,NA,98075.59,NA,6727.25,NA,690.75,0,81962.75,100
1912,under_lease|total_acreage,24067.76,NA,42845,NA,3552,NA,2398.25,288.3,43801.11,53.35
1912,total_income_under_lease,3619.52,NA,98475.59,NA,9482.75,NA,690.75,0,81962.75,100
1913,unallotted_acreage_under_lease|grazing,NA,NA,NA,204000,NR,NA,NA,NA,NA,NA
1913,unallotted_total_income|grazing,NA,NA,NA,2418,6791,NA,NA,NA,NA,NA
1913,unallotted_acreage_under_lease|farming,NA,NA,479,NA,1855,NA,NA,NA,NA,NA
1913,unallotted_total_income|farming,NA,NA,623,NA,600,NA,NA,NA,NA,NA
1913,allotted_acreage_under_lease|indian_control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1913,allotted_total_income|indian_control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1913,allotted_acreage_under_lease|department_control,20075,NA,41965,NA,7476,NA,1550,288,47442,NA
1913,allotted_total_income|department_control,4758,NA,105420,NA,7023,NA,2887,NR,98772,NA
1913,total_mining_acreage,7.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1913,allotted_under_lease|total_income|mining,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA
1913,unallotted_under_lease|total_acreage,NA,NA,479,204000,1855,NA,NA,NA,NA,NA
1913,unallotted_under_lease|total_income,NA,NA,623,2418,7391,NA,NA,NA,NA,NA
1913,allotted_under_lease|total_acreage,20082.11,0,41965,NA,7476,NA,1550,288,47442,NA
1913,allotted_under_lease|total_income,4758,0,105420,NA,7023,NA,2887,0,98772,NA
1913,under_lease|total_acreage,20082.11,0,42444,204000,9331,NA,1550,288,47442,NA
1913,total_income_under_lease,4758,0,106043,2418,14414,NA,2887,0,98772,NA
1914,allotted_acreage_under_lease|farming,NA,1710,52400,NA,10690,NA,2554,411,42622,115
1914,unallotted_acreage_under_lease|farming,589,NA,400,NA,NA,NA,NA,NA,NA,NA
1914,total_income_under_lease|farming,455,1515,116659,NA,8774,NA,3437,1670,90864,790
1914,allotted_acreage_under_lease|grazing,16502,1710,NA,NA,NA,NA,NR,NR,6725,30
1914,unallotted_acreage_under_lease|grazing,NA,NA,NA,186800,175000,NA,NA,NA,NA,NA
1914,total_income_under_lease|grazing,4315,1515,NA,1518,2575,NA,NR,NR,8752,210
1914,unallotted_under_lease|total_acreage,589,0,400,186800,175000,0,0,0,0,0
1914,unallotted_under_lease|total_income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
